COLLAT_claimTVL,COLLAT_finalTVL,PREM_claimTVL,PREM_finalTVL,begin_time,collateral,collateral_assets,collateral_emissions,collateral_payoff,end_time,epochBegin,epochEnd,epoch_type,full_name,hedge_ratio,name,nextepochBegin,nextepochEnd,premium,premium_assets,premium_emissions,premium_payoff,strike,total_assets,total_emissions,underlyingAsset,underlyingAssetprice,underlyingAssetsymbol,underlyingAssetvalue,y2k_apr,y2k_collateral_apr,y2k_premium_apr,y2k_price,total_value_locked
2457.4496832103237,2250.943613234646,0.0,206.50606997567772,2022-11-07 00:00:00,0x4802538376f175791b25ad31b38d12d3001ac39a,2250.9436132346477,22200.000000000502,206.50606997567775,2022-11-14 00:00:00,2022-11-07 00:00:00,1668384000,weekly,y2kUSDC_997* v1 weekly,0.09174200044883604,y2kUSDC_997*,1668384000,1668988800,0xf63c8ba545be459cf6a6b32d9fa0239e34b986c2,206.50606997567766,44380.0000000005,-206.50606997567772,0.998,2457.4496832103255,66580.000000001,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,1580.8657638888874,WETH,3884898.0706667956,,,,,2457.4496832103255
155.31000156218042,2123.946214647135,2123.946214647135,155.31000156218042,2022-11-07 00:00:00,0x38589723f8a024cfed58f58ad36f56e45b941119,2123.946214647133,22200.000000000502,-1968.6362130849548,2022-11-14 00:00:00,2022-11-07 00:00:00,1668384000,weekly,y2kUSDT_991* v1 weekly,0.07312332133984065,y2kUSDT_991*,1668384000,1668988800,0xa7498ab0661df78bb7ba28eab415f90a98d67a7d,155.31000156218045,44380.0000000005,1968.6362130849548,0.992,2279.256216209313,66580.000000001,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,1580.8657638888874,WETH,3603198.1193362307,,,,,2279.256216209313
192.4208573359758,1751.8467707602176,1751.8467707602176,192.4208573359758,2022-11-07 00:00:00,0x6de0e8f025f104f6a61c016613f93b8f2cf151a2,1751.8467707602153,22200.000000000502,-1559.4259134242418,2022-11-14 00:00:00,2022-11-07 00:00:00,1668384000,weekly,y2kMIM_975* v1 weekly,0.10983886293461302,y2kMIM_975*,1668384000,1668988800,0x447deddf312ad609e2f85fd23130acd6ba48e8b7,192.42085733597574,44380.0000000005,1559.4259134242418,0.976,1944.2676280961912,66580.000000001,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,1580.8657638888874,WETH,3073626.1290947204,,,,,1944.2676280961912
1689.5122382924517,1541.6266121360395,0.0,147.88562615641237,2022-11-16 05:00:00,0x38589723f8a024cfed58f58ad36f56e45b941119,1541.626612136039,13320.0000000005,147.88562615641217,2022-11-21 05:00:00,2022-11-16 05:00:48,1669006800,weekly,y2kUSDT_991* v1 weekly,0.09592830390460487,y2kUSDT_991*,1669179600,1669611600,0xa7498ab0661df78bb7ba28eab415f90a98d67a7d,147.88562615641237,26640.0000000005,-147.88562615641237,0.992,1689.5122382924515,39960.000000001,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,1230.8331249999997,WETH,2079507.627983242,,,,,1689.5122382924515
1572.71317534198,1463.7525791017435,0.0,108.96059624023663,2022-11-16 05:00:00,0x3e42e8d8357d05c66674ceb34f47bd4536d5a2b6,1463.7525791017426,13320.0000000005,108.96059624023655,2022-11-21 05:00:00,2022-11-16 05:00:48,1669006800,weekly,y2kDAI_996* v1 weekly,0.0744392172528927,y2kDAI_996*,1669179600,1669611600,0x9ee7109adc2f6514dea1f63bcca1340a320cca9a,108.96059624023661,26580.0000000005,-108.96059624023663,0.997,1572.7131753419792,39900.000000001,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,1230.8331249999997,WETH,1935747.4723348406,,,,,1572.7131753419792
2122.736618870322,2018.9427086501776,0.0,103.79391022014477,2022-11-16 05:00:00,0x4802538376f175791b25ad31b38d12d3001ac39a,2018.9427086501764,13320.0000000005,103.79391022014465,2022-11-21 05:00:00,2022-11-16 05:00:48,1669006800,weekly,y2kUSDC_997* v1 weekly,0.051410032476622014,y2kUSDC_997*,1669179600,1669611600,0xf63c8ba545be459cf6a6b32d9fa0239e34b986c2,103.79391022014478,26640.0000000005,-103.79391022014477,0.998,2122.7366188703213,39960.000000001,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,1230.8331249999997,WETH,2612734.5461560907,,,,,2122.7366188703213
986.9930981350647,795.1124706215436,0.0,191.880627513521,2022-11-16 05:00:00,0x6de0e8f025f104f6a61c016613f93b8f2cf151a2,795.112470621542,13320.0000000005,191.88062751352106,2022-11-21 05:00:00,2022-11-16 05:00:48,1669006800,weekly,y2kMIM_975* v1 weekly,0.2413251390253353,y2kMIM_975*,1669179600,1669611600,0x447deddf312ad609e2f85fd23130acd6ba48e8b7,191.88062751352146,26640.0000000005,-191.880627513521,0.976,986.9930981350635,39960.000000001,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,1230.8331249999997,WETH,1214823.7993310115,,,,,986.9930981350635
1341.2109954006155,1125.726748778614,0.0,215.48424662200162,2022-11-16 05:00:00,0x186e60869ee06c1178b01a00a63559324a47ddfd,1125.7267487786137,13320.0000000005,215.4842466220016,2022-11-21 05:00:00,2022-11-16 05:00:48,1669006800,weekly,y2kFRAX_990* v1 weekly,0.19141789679937588,y2kFRAX_990*,1669179600,1669611600,0xc20f0242e7a7ee837a6c459485e01aab80fba3c9,215.48424662200162,26640.0000000005,-215.48424662200162,0.991,1341.2109954006153,39960.000000001,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,1230.8331249999997,WETH,1650806.9207532995,,,,,1341.2109954006153
2196.141211460781,2117.385360749314,0.0,78.75585071146745,2022-11-23 00:00:00,0x4802538376f175791b25ad31b38d12d3001ac39a,2117.3853607493147,13320.0000000005,78.75585071146725,2022-11-28 00:00:00,2022-11-23 00:00:00,1669593600,weekly,y2kUSDC_997* v1 weekly,0.03719485936352976,y2kUSDC_997*,1669766400,1670198400,0xf63c8ba545be459cf6a6b32d9fa0239e34b986c2,78.75585071146749,26640.0000000005,-78.75585071146745,0.998,2196.1412114607824,39960.000000001,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,1162.9799999999996,WETH,2554068.3061046596,,,,,2196.1412114607824
1899.7786677522538,1787.2782243780703,0.0,112.50044337418342,2022-11-23 00:00:00,0x186e60869ee06c1178b01a00a63559324a47ddfd,1787.27822437807,13320.0000000005,112.50044337418353,2022-11-28 00:00:00,2022-11-23 00:00:00,1669593600,weekly,y2kFRAX_990* v1 weekly,0.06294512059717555,y2kFRAX_990*,1669766400,1670198400,0xc20f0242e7a7ee837a6c459485e01aab80fba3c9,112.5004433741834,26640.0000000005,-112.50044337418342,0.991,1899.7786677522533,39960.000000001,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,1162.9799999999996,WETH,2209404.595022515,,,,,1899.7786677522533
